ID,mImage,mTitle,mNative,mNickname,mDirectors,mActors,mTime,mCountry,mType,mPoint,mComments
000231,.jpg,美国丽人,American Beauty,美丽有罪(港)  /  美国心·玫瑰情(台),萨姆·门德斯 Sam Mendes   ,凯文·史派西 Kevin Spacey / 安妮特...,1999 , 美国 , 剧情 爱情 家庭,8.5,212526人
000232,.jpg,国王的演讲,The King's Speech,皇上无话儿(港)  /  王者之声：宣战时刻(台),汤姆·霍珀 Tom Hooper   ,柯林·菲尔斯 Colin Firth / 杰弗里·...,2010 , 英国 澳大利亚 美国 , 剧情 传记 历史,8.3,390431人
000233,.jpg,海盗电台,The Boat That Rocked,出位乐人谷(港)  /  海盗电波,理查德·柯蒂斯 Richard Curtis   ,比尔·奈伊 Bill Nighy / 肯尼...,2009 , 英国 德国 法国 , 剧情 喜剧 音乐,8.6,182372人
000234,.jpg,非常嫌疑犯,The Usual Suspects,刺激惊爆点(台)  /  普通嫌疑犯,布莱恩·辛格 Bryan Singer   ,史蒂芬·鲍德温 Stephen Baldwin /...,1995 , 德国 美国 , 剧情 犯罪 悬疑 惊悚,8.6,139545人
000235,.jpg,荒野生存,Into the Wild,浪荡天涯(港)  /  阿拉斯加之死(台),西恩·潘 Sean Penn   ,埃米尔·赫斯基 Emile Hirsch / 马西娅·...,2007 , 美国 , 冒险 传记 剧情,8.6,146286人
000236,.jpg,黑鹰坠落,Black Hawk Down,黑鹰降落  /  黑鹰计划,雷德利·斯科特 Ridley Scott   ,乔什·哈奈特 Josh Hartnett / ...,2001 , 美国 , 动作 历史 战争,8.6,141428人
000237,.jpg,我爱你,그대를 사랑합니다,爱你  /  爱，是一生相伴(台),秋昌民 Chang-min Choo   ,宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011 , 韩国 , 剧情 爱情,9.0,70872人
000238,.jpg,千钧一发,Gattaca,变种异煞  /  自然人,安德鲁·尼科尔 Andrew Niccol   ,伊桑·霍克 Ethan Hawke / 乌玛...,1997 , 美国 , 剧情 科幻 惊悚,8.7,107891人
000239,.jpg,英国病人,The English Patient,英伦情人(台)  /  别问我是谁(港),安东尼·明格拉 Anthony Minghella   ,拉尔夫·费因斯 Ralph Fien...,1996 , 美国 英国 , 爱情 剧情 战争,8.5,194060人
000240,.jpg,天书奇谭,,The Legend of Sealed Book  /  Secrets of the Heavenly Book,王树忱 Shuchen Wang / 钱运达 Yunda Qian   ,丁建华 Jianhua Din...,1983 , 中国大陆 , 动画,9.1,61180人
000241,.jpg,遗愿清单,The Bucket List,玩转身前事(港)  /  一路玩到挂(台),罗伯·莱纳 Rob Reiner   ,杰克·尼科尔森 Jack Nicholson / 摩根...,2007 , 美国 , 冒险 喜剧 剧情,8.5,156798人
000242,.jpg,2001太空漫游,2001: A Space Odyssey,2001：星际漫游  /  2001：太空奥德赛,斯坦利·库布里克 Stanley Kubrick   ,凯尔·杜拉 Keir Dullea / ...,1968 , 英国 美国 , 科幻 惊悚 冒险,8.7,116206人
000243,.jpg,荒岛余生,Cast Away,浩劫重生(台)  /  劫后重生(港),罗伯特·泽米吉斯 Robert Zemeckis   ,汤姆·汉克斯 Tom Hanks / ...,2000 , 美国 , 冒险 剧情,8.5,160063人
000244,.jpg,迁徙的鸟,Le peuple migrateur,鸟的迁徙  /  鸟与梦飞行,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   ,主演:...,2001 , 法国 德国 意大利 西班牙 瑞士 , 纪录片,9.1,57062人
000245,.jpg,勇士,Warrior,勇者无敌(台)  /  钢铁斗士(港),加文·欧康诺 Gavin O'Connor   ,汤姆·哈迪 Tom Hardy / 乔尔·...,2011 , 美国 , 剧情 运动 家庭,8.9,98407人
000246,.jpg,枪火,鎗火,The Mission,杜琪峰 Johnnie To   ,吴镇宇 Francis Ng / 任达华 Simon Yam / ...,1999 , 香港 , 剧情 动作 犯罪,8.7,116499人
000247,.jpg,海蒂和爷爷,Heidi,飘零燕(港)  /  海蒂,阿兰·葛斯彭纳 Alain Gsponer   ,阿努克·斯特芬 Anuk Steffen /...,2015 , 德国 瑞士 南非 , 剧情 冒险 家庭,9.0,67081人
000248,.jpg,叫我第一名,Front of the Class,站在教室前  /  讲台前的我,彼得·维纳 Peter Werner   ,詹姆斯·沃克 James Wolk / 特里特·...,2008 , 美国 , 剧情 传记,8.6,122730人
000249,.jpg,燕尾蝶,スワロウテイル,Swallowtail Butterfly  /  Suwarôteiru,岩井俊二 Shunji Iwai   ,恰拉 Chara / 伊藤步 Ayumi Ito / 三上...,1996 , 日本 , 犯罪 剧情,8.6,117108人
000250,.jpg,穆赫兰道,Mulholland Dr.,穆荷兰大道(台)  /  失忆大道(港),大卫·林奇 David Lynch   ,娜奥米·沃茨 Naomi Watts / 劳拉·哈...,2001 , 法国 美国 , 剧情 悬疑 惊悚,8.3,266223人
